COLE_COD_MCPIO_UBICACION,Ano,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,ESTU_TIENEETNIA,COLE_NATURALEZA,PUNT_GLOBAL,MUNICIPIO,DEPARTAMENTO,PoblacionTotal,ConexMilHab,NoAccesosFijos,Indice_Rural
05045,2018,0.5930902111324377,0.45965770171149145,0.061941631923764146,0.06670637284097677,231.8129839189994,APARTADÓ,ANTIOQUIA,121003.0,137.0833780980637,16587.5,0.186350751634257
05045,2019,0.6516786570743405,0.45925494761350405,0.0818746470920384,0.09203839638622248,228.2987012987013,APARTADÓ,ANTIOQUIA,124647.0,151.47777323160605,18881.25,0.17409965743258962
05051,2014,0.1122715404699739,0.17493472584856398,0.007832898172323759,0.0,226.3159268929504,ARBOLETES,ANTIOQUIA,28728.0,25.60219994430521,735.5,0.6690685045948204
05051,2015,0.20625,0.290625,0.0778816199376947,0.0,221.7601246105919,ARBOLETES,ANTIOQUIA,28808.0,28.030408219938906,807.5,0.6693626770341572
05051,2016,0.13562386980108498,0.1735985533453888,0.1844484629294756,0.0,220.71066907775767,ARBOLETES,ANTIOQUIA,28865.0,29.96708816906288,865.0,0.6688030486748657
05051,2017,0.18984547461368653,0.17484008528784648,0.016771488469601678,0.0,220.9979035639413,ARBOLETES,ANTIOQUIA,28862.0,37.07296791629132,1070.0,0.6670708890582773
05051,2018,0.18614718614718614,0.1949685534591195,0.18395303326810175,0.0,218.01956947162427,ARBOLETES,ANTIOQUIA,29295.0,36.55060590544461,1070.75,0.6672811059907834
05051,2019,0.22323462414578588,0.21258134490238612,0.25957446808510637,0.0,214.35531914893616,ARBOLETES,ANTIOQUIA,29942.0,35.17634092578986,1053.25,0.6623472045955514
05055,2014,0.13186813186813187,0.31868131868131866,0.0,0.34065934065934067,225.9010989010989,ARGELIA,ANTIOQUIA,7734.0,28.12257564003103,217.5,0.5760279286268425
05055,2015,0.2857142857142857,0.44761904761904764,0.0,0.3142857142857143,221.8,ARGELIA,ANTIOQUIA,7759.0,28.805258409588866,223.5,0.5733986338445676
05055,2016,0.20930232558139536,0.4069767441860465,0.0,0.0,234.6046511627907,ARGELIA,ANTIOQUIA,7727.0,31.448168758897374,243.0,0.5694318623010224
05055,2017,0.39436619718309857,0.5211267605633803,0.0,0.0,231.75342465753425,ARGELIA,ANTIOQUIA,7676.0,32.89473684210526,252.5,0.5626628452318916
05055,2018,0.27941176470588236,0.29577464788732394,0.0,0.0,222.34666666666666,ARGELIA,ANTIOQUIA,7689.0,36.83834048640916,283.25,0.5562491871504747
05055,2019,0.21333333333333335,0.24675324675324675,0.0,0.0,213.1139240506329,ARGELIA,ANTIOQUIA,7577.0,42.596014253662396,322.75,0.5416391711759272
05059,2014,0.06060606060606061,0.24242424242424243,0.0,0.0,243.72727272727272,ARMENIA,ANTIOQUIA,5388.0,42.037861915367486,226.5,0.6904231625835189
05059,2015,0.17391304347826086,0.2608695652173913,0.0,0.0,251.02173913043478,ARMENIA,ANTIOQUIA,5321.0,44.164630708513435,235.0,0.6859612854726556
05059,2016,0.18181818181818182,0.3181818181818182,0.022727272727272728,0.0,251.95454545454547,ARMENIA,ANTIOQUIA,5218.0,77.32847834419317,403.5,0.6789957838252204
05059,2017,0.21428571428571427,0.42857142857142855,0.0,0.0,264.57142857142856,ARMENIA,ANTIOQUIA,5123.0,28.596525473355456,146.5,0.6697247706422018
05059,2018,0.13793103448275862,0.13793103448275862,0.0,0.0,253.7,ARMENIA,ANTIOQUIA,5139.0,24.85892196925472,127.75,0.666082895504962
05059,2019,0.1794871794871795,0.15384615384615385,0.0,0.0,248.4,ARMENIA,ANTIOQUIA,5085.0,21.976401179941004,111.75,0.6582104228121928
05079,2014,0.5510204081632653,0.6901669758812616,0.012987012987012988,0.23747680890538034,242.01484230055658,BARBOSA,ANTIOQUIA,47765.0,88.71558672668272,4237.5,0.5605987647859311
05079,2015,0.57421875,0.6875,0.0,0.1773049645390071,238.10106382978722,BARBOSA,ANTIOQUIA,48268.0,91.36487942322036,4410.0,0.5618836496229386
05079,2016,0.48872180451127817,0.5864661654135338,0.0018796992481203006,0.09022556390977443,245.90977443609023,BARBOSA,ANTIOQUIA,48938.0,95.06927132289836,4652.5,0.564387592463934
05079,2017,0.5146198830409356,0.6058931860036832,0.0,0.09140767824497258,241.0073126142596,BARBOSA,ANTIOQUIA,49978.0,95.8021529472968,4788.0,0.5672695986233943
05079,2018,0.5327102803738317,0.5843694493783304,0.005145797598627788,0.05660377358490566,237.2967409948542,BARBOSA,ANTIOQUIA,51969.0,96.40362523812273,5010.0,0.5733225576786161
05079,2019,0.5669291338582677,0.6030534351145038,0.0018656716417910447,0.06343283582089553,235.48134328358208,BARBOSA,ANTIOQUIA,53242.0,105.19890312159573,5601.0,0.5665452086698471
05086,2014,0.2777777777777778,0.5925925925925926,0.18518518518518517,0.0,239.5185185185185,BELMIRA,ANTIOQUIA,5884.0,38.49422161794698,226.5,0.731645139360979
05086,2015,0.18604651162790697,0.43023255813953487,0.019417475728155338,0.0,224.7766990291262,BELMIRA,ANTIOQUIA,5908.0,43.07718348002708,254.5,0.7318889641164523
05086,2016,0.29896907216494845,0.4639175257731959,0.0,0.0,235.95876288659792,BELMIRA,ANTIOQUIA,5917.0,44.025688693594724,260.5,0.7316207537603515
05086,2017,0.3409090909090909,0.6304347826086957,0.0,0.0,237.1720430107527,BELMIRA,ANTIOQUIA,5911.0,45.76213838605989,270.5,0.7294873963796312
05086,2018,0.2823529411764706,0.4606741573033708,0.0,0.0,237.65591397849462,BELMIRA,ANTIOQUIA,6000.0,49.25,295.5,0.7295
05086,2019,0.2727272727272727,0.54,0.0,0.0,218.125,BELMIRA,ANTIOQUIA,6054.0,55.45920052857615,335.75,0.726792203501817
05088,2014,0.7485239852398524,0.792619926199262,0.012177121771217712,0.3715867158671587,247.70110701107012,BELLO,ANTIOQUIA,437979.0,175.89427803616155,77038.0,0.05991611469956322
05088,2015,0.7750173731758165,0.7871785962473941,0.004863644259162758,0.4017717561229807,247.40125065138093,BELLO,ANTIOQUIA,455952.0,177.76213285609012,81051.0,0.057944695932905216
05088,2016,0.7952192734801431,0.7795972143798231,0.009252669039145907,0.3633451957295374,257.4423487544484,BELLO,ANTIOQUIA,481333.0,185.08392318831247,89087.0,0.05494325134574193
05088,2017,0.7908201655379985,0.7343467245747376,0.0032,0.3224888888888889,251.53084444444445,BELLO,ANTIOQUIA,504580.0,192.22818978160055,96994.5,0.0522910143089302
05088,2018,0.8088012139605463,0.7115963855421686,0.005905511811023622,0.3214030064423765,249.02415891195417,BELLO,ANTIOQUIA,522264.0,196.21063293659913,102473.75,0.05127866366435366
